Time [ms],rhoC,ViscosityA,ViscosityB,DensityB,MAF,Power [kW],CurrentA,CurrentB,CurrentC,VoltageA,VoltageB,VoltageC,SmpInjFlow,FlowA,FlowB,DiffFlow,DiffCons,Soot Dilution Eng 1,NO (350
200,848.322671,3.434886,3.426435,824.569448,-0.59538,0.67057,1.427662,0.352727,0.920495,427.844871,444.058609,428.043465,-0.060202,1605.600125,1582.817043,22.783082,0.54844,1059.651657,207.528955
421,846.997653,3.489669,3.414441,824.603465,-0.641565,0.569219,1.342128,0.36987,0.579855,427.561275,443.686656,427.637264,-0.065169,1605.17927,1582.055767,23.123503,0.549725,1065.601347,207.528955
637,847.110787,3.573822,3.47136,825.074039,-0.721394,0.606213,1.066524,0.333251,1.043253,427.599671,443.706336,427.585898,-0.07324,1605.255431,1581.740521,23.51491,0.551031,1061.272646,
801,851.358017,3.487359,3.399872,824.47927,-0.724677,0.45448,0.678999,0.414887,0.730534,427.790323,443.987136,427.781217,-0.072602,1605.535885,1581.502385,24.0335,0.552367,1069.528763,207.528955
1000,845.885991,3.596351,3.499389,825.39895,-0.68637,0.499103,0.697204,0.792629,0.50129,427.669325,443.961941,427.699431,-0.068739,1605.98297,1581.646156,24.336813,0.553719,1064.260532,207.528955
1200,847.236423,3.585873,3.515815,825.404055,-0.604927,0.530032,0.807127,0.844984,0.462177,427.622194,444.03409,427.746194,-0.060876,1605.538128,1581.342704,24.195424,0.555063,1064.031833,209.145516
1400,847.235398,3.596417,3.526157,825.206968,-0.608839,0.490669,0.705088,0.395849,0.871903,427.433897,443.874665,427.546283,-0.060272,1605.213657,1581.990583,23.223074,0.556354,1054.730876,209.145516
1601,848.84243,3.480065,3.42664,824.177918,-0.618015,0.504873,0.784428,0.337179,0.910328,427.548539,444.077065,427.703566,-0.062002,1604.789793,1582.388771,22.401022,0.557598,1064.96883,209.145516
1800,847.545696,3.572518,3.506034,825.070881,-0.659459,0.454394,0.79284,0.368872,0.664821,427.48039,444.07976,427.636569,-0.066292,1605.374557,1581.983609,23.390949,0.558898,1068.203965,209.145516
2000,848.781355,3.545514,3.509263,825.156343,-0.619262,0.460365,0.769546,0.528129,0.54623,427.578323,444.283277,427.834024,-0.06189,1605.100362,1581.626094,23.474268,0.560202,1067.48073,209.145516
2201,850.546405,3.567109,3.498755,825.008794,-0.658724,0.400231,0.660261,0.310939,0.63854,427.303978,444.072617,427.550309,-0.065686,1604.870426,1582.156542,22.713883,0.561464,1064.152881,208.214946
2401,849.021149,3.600232,3.534052,825.255092,-0.612515,0.397114,0.63406,0.3332,0.629157,427.227148,444.030233,427.529372,-0.061184,1605.095278,1582.413409,22.681869,0.562725,1062.509517,208.214946
2602,848.863336,3.55779,3.489486,824.755504,-0.642157,0.469739,0.62323,0.572828,0.683961,427.468547,444.40406,427.850018,-0.064364,1605.143558,1581.855491,23.288068,0.564019,1062.846512,208.214946
2801,849.536605,3.48175,3.420077,824.231475,-0.65283,0.634468,0.667234,0.946997,0.91859,427.372528,444.366301,427.785381,-0.064786,1604.946547,1581.101727,23.84482,0.565343,1063.188922,208.214946
3001,846.59861,3.56978,3.518366,825.157594,-0.695928,0.529595,0.678109,0.486352,0.96308,427.056734,444.106921,427.48456,-0.06872,1604.804673,1581.355479,23.449193,0.566646,1066.799674,208.214946
3200,851.460699,3.537227,3.484397,824.630756,-0.687078,0.491835,0.735422,0.30979,0.935247,427.240111,444.334062,427.726996,-0.068106,1605.250126,1581.887106,23.363021,0.567944,1068.799198,204.438289
3406,847.596114,3.585137,3.516067,825.078652,-0.689177,0.479006,0.800168,0.31125,0.816783,427.276063,444.405827,427.835729,-0.067581,1605.183751,1581.892589,23.291162,0.569239,1063.493798,204.438289
3623,850.840717,3.574662,3.51006,824.976171,-0.645685,0.436883,0.766458,0.396511,0.592811,426.930295,443.978294,427.51834,-0.062902,1605.324289,1582.280266,23.044023,0.570519,1067.14048,
3801,847.625218,3.570995,3.503128,825.117815,-0.609229,0.558043,1.344527,0.321216,0.583331,427.142337,444.199857,427.836128,-0.05967,1605.4069,1582.26102,23.14588,0.571805,1063.763292,204.438289
4001,848.530493,3.52946,3.472721,824.618125,-0.509117,0.540412,1.11311,0.554477,0.499837,427.334224,444.324761,428.104225,-0.049078,1605.602842,1582.239785,23.363056,0.573103,1069.184447,204.438289
4201,846.883085,3.55646,3.532881,825.231717,-0.440998,0.434168,0.766,0.312893,0.668553,427.021889,443.906379,427.800551,-0.043398,1605.678109,1581.575845,24.102264,0.574442,1064.31841,204.887309
4402,851.391425,3.452584,3.481886,824.882221,-0.374495,0.434955,0.65588,0.31965,0.773796,427.231222,444.051926,428.034505,-0.036196,1605.495196,1581.442783,24.052413,0.575779,1063.860066,204.887309
4602,849.780703,3.466153,3.517017,825.109552,-0.322681,0.3694,0.605177,0.339315,0.538718,427.246239,444.008853,428.054729,-0.031043,1605.646256,1581.225917,24.420339,0.577136,1060.044941,204.887309
4802,846.57791,3.456589,3.50351,824.970984,-0.247105,0.48018,0.64757,0.44477,0.834839,427.332746,444.068545,428.178055,-0.023158,1605.677565,1581.984985,23.69258,0.578452,1061.276399,204.887309
5002,848.417359,3.475195,3.52432,825.200263,-0.219263,0.423562,0.719462,0.401625,0.579709,427.110564,443.76962,427.994771,-0.019913,1605.995989,1582.140327,23.855662,0.579777,1061.903775,204.887309
5201,850.499471,3.441545,3.476373,824.72852,-0.188611,0.60316,0.982599,0.691744,0.742618,427.205131,443.813708,428.116198,-0.017103,1606.134876,1582.251528,23.883347,0.581104,1068.068077,208.153124
5401,847.578078,3.498508,3.561946,825.515824,-0.085258,0.701332,0.754934,1.139205,0.902294,427.344884,443.903012,428.274745,-0.006163,1605.804507,1582.134484,23.670023,0.58242,1069.998522,208.153124
5601,850.672656,3.437905,3.483901,824.88505,-0.002622,0.720605,1.018917,0.766873,1.104842,427.123586,443.543824,427.915992,0.001729,1605.450493,1581.98223,23.468263,0.583724,1063.307072,208.153124
5802,847.487489,3.449238,3.493359,824.933604,0.04654,0.545688,0.697861,0.537457,0.953774,427.437614,443.792383,428.139977,0.00655,1605.492936,1581.722916,23.77002,0.585044,1064.386651,208.153124
6001,851.270298,3.496632,3.547354,825.479614,0.130452,0.409298,0.61358,0.30644,0.725004,427.65155,443.997938,428.229081,0.014926,1605.408094,1581.322728,24.085366,0.586383,1059.557625,208.153124
6202,850.162325,3.439785,3.480301,824.816197,0.1924,0.551057,0.655065,0.314559,1.250595,427.356822,443.565837,427.78425,0.021511,1605.63808,1581.736524,23.901556,0.587711,1057.053591,206.854347
6421,848.131655,3.477386,3.533689,825.28269,0.217907,0.504219,1.023116,0.303697,0.703724,427.556487,443.768822,427.896125,0.023876,1605.564653,1581.640859,23.923794,0.58904,1056.151073,
6601,848.616573,3.477821,3.50378,825.134834,0.281747,0.544782,1.225711,0.353149,0.614056,427.624671,443.781856,427.852976,0.029532,1605.494717,1581.46739,24.027327,0.590375,1056.044654,206.854347
6801,849.261148,3.405811,3.453705,824.469715,0.27823,0.551217,1.048143,0.324172,0.846953,427.76349,443.969966,427.952122,0.028901,1605.071249,1581.994065,23.077184,0.591657,1057.683463,206.854347
7001,849.225487,3.410427,3.46811,824.769098,0.327813,0.552582,0.656548,0.69331,0.862837,427.469732,443.594256,427.53942,0.034394,1605.06293,1581.534375,23.528555,0.592964,1056.591187,206.854347
7202,847.663544,3.490288,3.556668,825.61486,0.336202,0.544512,0.816112,0.636879,0.72837,427.616444,443.794453,427.662185,0.035123,1605.771834,1582.014727,23.757106,0.594284,1062.627867,206.361553
7401,848.149691,3.347807,3.473632,825.000285,0.383397,0.561131,0.936422,0.678614,0.6321,427.622693,443.809351,427.616926,0.039853,1606.165455,1581.724712,24.440743,0.595642,1063.085409,206.361553
7601,850.728403,3.319832,3.462208,824.8212,0.350605,0.464385,0.702451,0.490421,0.668836,427.726236,444.02875,427.790281,0.035523,1606.283265,1581.47148,24.811785,0.597021,1063.287376,206.361553
7802,848.831773,3.336515,3.467186,824.963746,0.365805,0.709243,1.504853,0.55824,0.789895,427.383246,443.701332,427.402661,0.037902,1606.215633,1581.490476,24.725158,0.598395,1060.828914,206.361553
8001,847.319223,3.317216,3.46884,824.984168,0.30131,0.650341,1.262749,0.321124,1.037905,427.575181,444.029339,427.703091,0.031439,1606.309985,1581.627557,24.682428,0.599766,1066.696256,206.361553
8202,850.758941,3.317893,3.423216,824.682693,0.32192,0.552019,0.760801,0.819188,0.624848,427.47644,443.991807,427.605029,0.033032,1606.173884,1581.752879,24.421004,0.601123,1070.35496,207.274925
8401,849.06132,3.367492,3.472572,825.086608,0.301875,0.555365,0.632247,0.943713,0.636348,427.648646,444.277757,427.864085,0.031038,1606.394984,1582.135235,24.259749,0.602471,1067.027472,207.274925
8603,846.16985,3.344784,3.508436,825.199135,0.338999,0.513284,0.636944,0.605441,0.813859,427.366617,444.041292,427.573002,0.035558,1606.211646,1582.151724,24.059922,0.603808,1066.350401,207.274925
8803,850.251274,3.339678,3.491298,825.229031,0.356118,0.422992,0.683926,0.435683,0.576993,427.427109,444.22012,427.693665,0.037175,1606.166474,1582.291808,23.874666,0.605134,1061.574172,207.274925
9002,846.326024,3.358186,3.495106,825.299935,0.417476,0.565062,0.725147,0.464884,1.08164,427.243482,444.142462,427.524856,0.043091,1605.987882,1582.255884,23.731998,0.606453,1066.609665,206.188438
9208,847.147473,3.312243,3.477482,825.081953,0.36704,0.420925,0.686626,0.417507,0.585084,427.283055,444.236472,427.644916,0.038062,1605.55681,1581.766491,23.790319,0.607775,1062.747939,206.188438
9427,847.890836,3.349339,3.488352,825.276724,0.403981,0.438909,0.720826,0.441746,0.598726,427.195497,444.267826,427.616732,0.041994,1605.682963,1581.613202,24.069761,0.609112,1063.458155,
9602,847.581153,3.34338,3.465076,824.933481,0.349475,0.472666,0.602406,0.514102,0.777968,427.329044,444.388745,427.77467,0.035475,1605.781757,1581.629193,24.152564,0.610454,1060.587169,206.188438
9801,848.377803,3.364028,3.479343,825.190277,0.387898,0.428431,0.64046,0.432443,0.646829,427.019468,444.102746,427.512174,0.039328,1606.305869,1581.60454,24.701328,0.611827,1069.988322,206.188438
10001,847.933056,3.351979,3.464533,825.107091,0.287288,0.453759,0.687548,0.327501,0.810095,427.303413,444.349209,427.873144,0.029381,1605.677931,1581.869002,23.80893,0.61315,1071.445182,206.188438
10203,847.973842,3.354654,3.477619,825.078632,0.209808,0.583909,0.64366,0.317253,1.392108,427.178261,444.15264,427.763514,0.021855,1606.038198,1582.550028,23.48817,0.614455,1064.445189,203.606931
10401,847.240727,3.334119,3.344544,824.876603,0.111811,0.519448,0.707662,0.396874,0.983556,427.377139,444.2706,427.990271,0.01111,1606.082829,1582.038394,24.044435,0.615791,1064.305278,203.606931
10602,849.853256,3.37994,3.37261,825.199504,0.09762,0.387494,0.631599,0.432722,0.48958,427.035683,443.887201,427.639912,0.010188,1606.481578,1581.585222,24.896356,0.617174,1061.11689,203.606931
10802,848.236591,3.332959,3.314594,824.737173,0.078586,0.424891,0.640519,0.557609,0.501059,427.380648,444.241276,428.041569,0.008389,1605.791604,1581.071985,24.719619,0.618547,1065.72838,203.606931
11001,847.340334,3.338061,3.340966,824.871825,0.067229,0.451503,0.945734,0.32261,0.548597,427.206011,444.037138,427.914123,0.006214,1605.952738,1580.964389,24.988349,0.619936,1053.706399,203.606931
11202,850.491478,3.353041,3.34224,825.057902,0.000778,0.385833,0.72395,0.355945,0.468957,427.385592,444.19057,428.116475,0.000321,1605.952703,1581.245721,24.706982,0.621309,1055.448131,202.394718
11401,849.193719,3.372707,3.361204,825.066247,0.023331,0.437899,0.781077,0.483642,0.491366,427.069568,443.836772,427.849745,0.001902,1606.355031,1581.468869,24.886162,0.622691,1052.740461,202.394718
11601,851.796616,3.33728,3.334961,824.703608,-0.007071,0.464384,0.62524,0.574618,0.658399,427.375042,444.123729,428.196432,-0.000832,1605.874922,1581.370024,24.504898,0.624053,1059.02984,202.394718
